Province,Area Type,Age Group,Gender,Income Bracket (ZAR),Package,Customer Count
Gauteng,Urban,18-25,Female,20-40k,100/100 Mbps,13
Gauteng,Urban,18-25,Female,20-40k,200/200 Mbps,10
Gauteng,Urban,18-25,Female,20-40k,500/500 Mbps,69
Gauteng,Urban,18-25,Female,20-40k,1000/1000 Mbps,44
Gauteng,Urban,18-25,Female,40k+,10/10 Mbps,7
Gauteng,Urban,18-25,Female,40k+,50/50 Mbps,39
Gauteng,Urban,18-25,Female,40k+,100/100 Mbps,66
Gauteng,Urban,18-25,Female,40k+,200/200 Mbps,71
Gauteng,Urban,18-25,Female,40k+,500/500 Mbps,82
Gauteng,Urban,18-25,Female,40k+,1000/1000 Mbps,70
Gauteng,Urban,18-25,Other,<10k,10/10 Mbps,12
Gauteng,Urban,18-25,Other,<10k,50/50 Mbps,97
Gauteng,Urban,18-25,Other,<10k,100/100 Mbps,7
Gauteng,Urban,18-25,Other,<10k,200/200 Mbps,46
Gauteng,Urban,18-25,Other,<10k,500/500 Mbps,29
Gauteng,Urban,18-25,Other,<10k,1000/1000 Mbps,98
Gauteng,Urban,18-25,Other,10-20k,10/10 Mbps,9
Gauteng,Urban,18-25,Other,10-20k,50/50 Mbps,83
Gauteng,Urban,18-25,Other,10-20k,100/100 Mbps,89
Gauteng,Urban,18-25,Other,10-20k,200/200 Mbps,89
Gauteng,Urban,18-25,Other,10-20k,500/500 Mbps,16
Gauteng,Urban,18-25,Other,10-20k,1000/1000 Mbps,84
Gauteng,Urban,18-25,Other,20-40k,10/10 Mbps,10
Gauteng,Urban,18-25,Other,20-40k,50/50 Mbps,63
Gauteng,Urban,18-25,Other,20-40k,100/100 Mbps,38
Gauteng,Urban,18-25,Other,20-40k,200/200 Mbps,98
Gauteng,Urban,18-25,Other,20-40k,500/500 Mbps,19
Gauteng,Urban,18-25,Other,20-40k,1000/1000 Mbps,73
Gauteng,Urban,18-25,Other,40k+,10/10 Mbps,95
Gauteng,Urban,18-25,Other,40k+,50/50 Mbps,91
Gauteng,Urban,18-25,Other,40k+,100/100 Mbps,90
Gauteng,Urban,18-25,Other,40k+,200/200 Mbps,5
Gauteng,Urban,18-25,Other,40k+,500/500 Mbps,97
Gauteng,Urban,18-25,Other,40k+,1000/1000 Mbps,71
Gauteng,Urban,26-35,Male,<10k,10/10 Mbps,88
Gauteng,Urban,26-35,Male,<10k,50/50 Mbps,61
Gauteng,Urban,26-35,Male,<10k,100/100 Mbps,84
Gauteng,Urban,26-35,Male,<10k,200/200 Mbps,89
Gauteng,Urban,26-35,Male,<10k,500/500 Mbps,33
Gauteng,Urban,26-35,Male,<10k,1000/1000 Mbps,66
Gauteng,Urban,26-35,Male,10-20k,10/10 Mbps,29
Gauteng,Urban,26-35,Male,10-20k,50/50 Mbps,37
Gauteng,Urban,26-35,Male,10-20k,100/100 Mbps,86
Gauteng,Urban,26-35,Male,10-20k,200/200 Mbps,82
Gauteng,Urban,26-35,Male,10-20k,500/500 Mbps,62
Gauteng,Urban,26-35,Male,10-20k,1000/1000 Mbps,32
Gauteng,Urban,26-35,Male,20-40k,10/10 Mbps,45
Gauteng,Urban,26-35,Male,20-40k,50/50 Mbps,96
Gauteng,Urban,26-35,Male,20-40k,100/100 Mbps,17
Gauteng,Urban,26-35,Male,20-40k,200/200 Mbps,53
Gauteng,Urban,26-35,Male,20-40k,500/500 Mbps,50
Gauteng,Urban,26-35,Male,20-40k,1000/1000 Mbps,28
Gauteng,Urban,26-35,Male,40k+,10/10 Mbps,79
Gauteng,Urban,26-35,Male,40k+,50/50 Mbps,56
Gauteng,Urban,26-35,Male,40k+,100/100 Mbps,84
Gauteng,Urban,26-35,Male,40k+,200/200 Mbps,65
Gauteng,Urban,26-35,Male,40k+,500/500 Mbps,83
Gauteng,Urban,26-35,Male,40k+,1000/1000 Mbps,48
Gauteng,Urban,26-35,Female,<10k,10/10 Mbps,97
Gauteng,Urban,26-35,Female,<10k,50/50 Mbps,17
Gauteng,Urban,26-35,Female,<10k,100/100 Mbps,55
Gauteng,Urban,26-35,Female,<10k,200/200 Mbps,93
Gauteng,Urban,26-35,Female,<10k,500/500 Mbps,85
Gauteng,Urban,26-35,Female,<10k,1000/1000 Mbps,30
Gauteng,Urban,26-35,Female,10-20k,10/10 Mbps,70
Gauteng,Urban,26-35,Female,10-20k,50/50 Mbps,54
Gauteng,Urban,26-35,Female,10-20k,100/100 Mbps,26
Gauteng,Urban,26-35,Female,10-20k,200/200 Mbps,77
Gauteng,Urban,26-35,Female,10-20k,500/500 Mbps,62
Gauteng,Urban,26-35,Female,10-20k,1000/1000 Mbps,99
Gauteng,Urban,26-35,Female,20-40k,10/10 Mbps,41
Gauteng,Urban,26-35,Female,20-40k,50/50 Mbps,15
Gauteng,Urban,26-35,Female,20-40k,100/100 Mbps,32
Gauteng,Urban,26-35,Female,20-40k,200/200 Mbps,34
Gauteng,Urban,26-35,Female,20-40k,500/500 Mbps,33
Gauteng,Urban,26-35,Female,20-40k,1000/1000 Mbps,88
Gauteng,Urban,26-35,Female,40k+,10/10 Mbps,32
Gauteng,Urban,26-35,Female,40k+,50/50 Mbps,46
Gauteng,Urban,26-35,Female,40k+,100/100 Mbps,30
Gauteng,Urban,26-35,Female,40k+,200/200 Mbps,12
Gauteng,Urban,26-35,Female,40k+,500/500 Mbps,65
Gauteng,Urban,26-35,Female,40k+,1000/1000 Mbps,51
Gauteng,Urban,26-35,Other,<10k,10/10 Mbps,88
Gauteng,Urban,26-35,Other,<10k,50/50 Mbps,50
Gauteng,Urban,26-35,Other,<10k,100/100 Mbps,33
Gauteng,Urban,26-35,Other,<10k,200/200 Mbps,94
Gauteng,Urban,26-35,Other,<10k,500/500 Mbps,60
Gauteng,Urban,26-35,Other,<10k,1000/1000 Mbps,91
Gauteng,Urban,26-35,Other,10-20k,10/10 Mbps,64
Gauteng,Urban,26-35,Other,10-20k,50/50 Mbps,88
Gauteng,Urban,26-35,Other,10-20k,100/100 Mbps,44
Gauteng,Urban,26-35,Other,10-20k,200/200 Mbps,37
Gauteng,Urban,26-35,Other,10-20k,500/500 Mbps,48
Gauteng,Urban,26-35,Other,10-20k,1000/1000 Mbps,94
Gauteng,Urban,26-35,Other,20-40k,10/10 Mbps,29
Gauteng,Urban,26-35,Other,20-40k,50/50 Mbps,97
Gauteng,Urban,26-35,Other,20-40k,100/100 Mbps,37
Gauteng,Urban,26-35,Other,20-40k,200/200 Mbps,73
Gauteng,Urban,26-35,Other,20-40k,500/500 Mbps,56
Gauteng,Urban,26-35,Other,20-40k,1000/1000 Mbps,73
Gauteng,Urban,26-35,Other,40k+,10/10 Mbps,45
Gauteng,Urban,26-35,Other,40k+,50/50 Mbps,97
Gauteng,Urban,26-35,Other,40k+,100/100 Mbps,54
Gauteng,Urban,26-35,Other,40k+,200/200 Mbps,88
Gauteng,Urban,26-35,Other,40k+,500/500 Mbps,74
Gauteng,Urban,26-35,Other,40k+,1000/1000 Mbps,67
Gauteng,Urban,36-50,Male,<10k,10/10 Mbps,61
Gauteng,Urban,36-50,Male,<10k,50/50 Mbps,66
Gauteng,Urban,36-50,Male,<10k,100/100 Mbps,72
Gauteng,Urban,36-50,Male,<10k,200/200 Mbps,57
Gauteng,Urban,36-50,Male,<10k,500/500 Mbps,32
Gauteng,Urban,36-50,Male,<10k,1000/1000 Mbps,54
Gauteng,Urban,36-50,Male,10-20k,10/10 Mbps,67
Gauteng,Urban,36-50,Male,10-20k,50/50 Mbps,61
Gauteng,Urban,36-50,Male,10-20k,100/100 Mbps,99
Gauteng,Urban,36-50,Male,10-20k,200/200 Mbps,77
Gauteng,Urban,36-50,Male,10-20k,500/500 Mbps,99
Gauteng,Urban,36-50,Male,10-20k,1000/1000 Mbps,81
Gauteng,Urban,36-50,Male,20-40k,10/10 Mbps,98
Gauteng,Urban,36-50,Male,20-40k,50/50 Mbps,63
Gauteng,Urban,36-50,Male,20-40k,100/100 Mbps,74
Gauteng,Urban,36-50,Male,20-40k,200/200 Mbps,34
Gauteng,Urban,36-50,Male,20-40k,500/500 Mbps,8
Gauteng,Urban,36-50,Male,20-40k,1000/1000 Mbps,43
Gauteng,Urban,36-50,Male,40k+,10/10 Mbps,54
Gauteng,Urban,36-50,Male,40k+,50/50 Mbps,89
Gauteng,Urban,36-50,Male,40k+,100/100 Mbps,83
Gauteng,Urban,36-50,Male,40k+,200/200 Mbps,94
Gauteng,Urban,36-50,Male,40k+,500/500 Mbps,64
Gauteng,Urban,36-50,Male,40k+,1000/1000 Mbps,8
Gauteng,Urban,36-50,Female,<10k,10/10 Mbps,38
Gauteng,Urban,36-50,Female,<10k,50/50 Mbps,59
Gauteng,Urban,36-50,Female,<10k,100/100 Mbps,51
Gauteng,Urban,36-50,Female,<10k,200/200 Mbps,66
Gauteng,Urban,36-50,Female,<10k,500/500 Mbps,17
Gauteng,Urban,36-50,Female,<10k,1000/1000 Mbps,5
Gauteng,Urban,36-50,Female,10-20k,10/10 Mbps,21
Gauteng,Urban,36-50,Female,10-20k,50/50 Mbps,23
Gauteng,Urban,36-50,Female,10-20k,100/100 Mbps,18
Gauteng,Urban,36-50,Female,10-20k,200/200 Mbps,66
Gauteng,Urban,36-50,Female,10-20k,500/500 Mbps,69
Gauteng,Urban,36-50,Female,10-20k,1000/1000 Mbps,83
Gauteng,Urban,36-50,Female,20-40k,10/10 Mbps,82
Gauteng,Urban,36-50,Female,20-40k,50/50 Mbps,85
Gauteng,Urban,36-50,Female,20-40k,100/100 Mbps,39
Gauteng,Urban,36-50,Female,20-40k,200/200 Mbps,96
Gauteng,Urban,36-50,Female,20-40k,500/500 Mbps,59
Gauteng,Urban,36-50,Female,20-40k,1000/1000 Mbps,59
Gauteng,Urban,36-50,Female,40k+,10/10 Mbps,64
Gauteng,Urban,36-50,Female,40k+,50/50 Mbps,73
Gauteng,Urban,36-50,Female,40k+,100/100 Mbps,18
Gauteng,Urban,36-50,Female,40k+,200/200 Mbps,59
Gauteng,Urban,36-50,Female,40k+,500/500 Mbps,6
Gauteng,Urban,36-50,Female,40k+,1000/1000 Mbps,73
Gauteng,Urban,36-50,Other,<10k,10/10 Mbps,86
Gauteng,Urban,36-50,Other,<10k,50/50 Mbps,36
Gauteng,Urban,36-50,Other,<10k,100/100 Mbps,53
Gauteng,Urban,36-50,Other,<10k,200/200 Mbps,69
Gauteng,Urban,36-50,Other,<10k,500/500 Mbps,73
Gauteng,Urban,36-50,Other,<10k,1000/1000 Mbps,21
Gauteng,Urban,36-50,Other,10-20k,10/10 Mbps,88
Gauteng,Urban,36-50,Other,10-20k,50/50 Mbps,72
Gauteng,Urban,36-50,Other,10-20k,100/100 Mbps,31
Gauteng,Urban,36-50,Other,10-20k,200/200 Mbps,92
Gauteng,Urban,36-50,Other,10-20k,500/500 Mbps,41
Gauteng,Urban,36-50,Other,10-20k,1000/1000 Mbps,39
Gauteng,Urban,36-50,Other,20-40k,10/10 Mbps,9
Gauteng,Urban,36-50,Other,20-40k,50/50 Mbps,70
Gauteng,Urban,36-50,Other,20-40k,100/100 Mbps,35
Gauteng,Urban,36-50,Other,20-40k,200/200 Mbps,54
Gauteng,Urban,36-50,Other,20-40k,500/500 Mbps,38
Gauteng,Urban,36-50,Other,20-40k,1000/1000 Mbps,12
Gauteng,Urban,36-50,Other,40k+,10/10 Mbps,52
Gauteng,Urban,36-50,Other,40k+,50/50 Mbps,72
Gauteng,Urban,36-50,Other,40k+,100/100 Mbps,76
Gauteng,Urban,36-50,Other,40k+,200/200 Mbps,62
Gauteng,Urban,36-50,Other,40k+,500/500 Mbps,23
Gauteng,Urban,36-50,Other,40k+,1000/1000 Mbps,90
Gauteng,Urban,51+,Male,<10k,10/10 Mbps,43
Gauteng,Urban,51+,Male,<10k,50/50 Mbps,39
Gauteng,Urban,51+,Male,<10k,100/100 Mbps,55
Gauteng,Urban,51+,Male,<10k,200/200 Mbps,13
Gauteng,Urban,51+,Male,<10k,500/500 Mbps,27
Gauteng,Urban,51+,Male,<10k,1000/1000 Mbps,57
Gauteng,Urban,51+,Male,10-20k,10/10 Mbps,70
Gauteng,Urban,51+,Male,10-20k,50/50 Mbps,20
Gauteng,Urban,51+,Male,10-20k,100/100 Mbps,73
Gauteng,Urban,51+,Male,10-20k,200/200 Mbps,95
Gauteng,Urban,51+,Male,10-20k,500/500 Mbps,79
Gauteng,Urban,51+,Male,10-20k,1000/1000 Mbps,27
Gauteng,Urban,51+,Male,20-40k,10/10 Mbps,83
Gauteng,Urban,51+,Male,20-40k,50/50 Mbps,66
Gauteng,Urban,51+,Male,20-40k,100/100 Mbps,45
Gauteng,Urban,51+,Male,20-40k,200/200 Mbps,21
Gauteng,Urban,51+,Male,20-40k,500/500 Mbps,71
Gauteng,Urban,51+,Male,20-40k,1000/1000 Mbps,25
Gauteng,Urban,51+,Male,40k+,10/10 Mbps,36
Gauteng,Urban,51+,Male,40k+,50/50 Mbps,89
Gauteng,Urban,51+,Male,40k+,100/100 Mbps,31
Gauteng,Urban,51+,Male,40k+,200/200 Mbps,51
Gauteng,Urban,51+,Male,40k+,500/500 Mbps,27
Gauteng,Urban,51+,Male,40k+,1000/1000 Mbps,29
Gauteng,Urban,51+,Female,<10k,10/10 Mbps,61
Gauteng,Urban,51+,Female,<10k,50/50 Mbps,85
Gauteng,Urban,51+,Female,<10k,100/100 Mbps,56
Gauteng,Urban,51+,Female,<10k,200/200 Mbps,14
Gauteng,Urban,51+,Female,<10k,500/500 Mbps,15
Gauteng,Urban,51+,Female,<10k,1000/1000 Mbps,56
Gauteng,Urban,51+,Female,10-20k,10/10 Mbps,44
Gauteng,Urban,51+,Female,10-20k,50/50 Mbps,46
Gauteng,Urban,51+,Female,10-20k,100/100 Mbps,14
Gauteng,Urban,51+,Female,10-20k,200/200 Mbps,85
Gauteng,Urban,51+,Female,10-20k,500/500 Mbps,52
Gauteng,Urban,51+,Female,10-20k,1000/1000 Mbps,20
Gauteng,Urban,51+,Female,20-40k,10/10 Mbps,62
Gauteng,Urban,51+,Female,20-40k,50/50 Mbps,6
Gauteng,Urban,51+,Female,20-40k,100/100 Mbps,42
Gauteng,Urban,51+,Female,20-40k,200/200 Mbps,20
Gauteng,Urban,51+,Female,20-40k,500/500 Mbps,52
Gauteng,Urban,51+,Female,20-40k,1000/1000 Mbps,76
Gauteng,Urban,51+,Female,40k+,10/10 Mbps,31
Gauteng,Urban,51+,Female,40k+,50/50 Mbps,16
Gauteng,Urban,51+,Female,40k+,100/100 Mbps,91
Gauteng,Urban,51+,Female,40k+,200/200 Mbps,77
Gauteng,Urban,51+,Female,40k+,500/500 Mbps,47
Gauteng,Urban,51+,Female,40k+,1000/1000 Mbps,24
Gauteng,Urban,51+,Other,<10k,10/10 Mbps,95
Gauteng,Urban,51+,Other,<10k,50/50 Mbps,11
Gauteng,Urban,51+,Other,<10k,100/100 Mbps,79
Gauteng,Urban,51+,Other,<10k,200/200 Mbps,68
Gauteng,Urban,51+,Other,<10k,500/500 Mbps,80
Gauteng,Urban,51+,Other,<10k,1000/1000 Mbps,53
Gauteng,Urban,51+,Other,10-20k,10/10 Mbps,45
Gauteng,Urban,51+,Other,10-20k,50/50 Mbps,27
Gauteng,Urban,51+,Other,10-20k,100/100 Mbps,20
Gauteng,Urban,51+,Other,10-20k,200/200 Mbps,6
Gauteng,Urban,51+,Other,10-20k,500/500 Mbps,25
Gauteng,Urban,51+,Other,10-20k,1000/1000 Mbps,71
Gauteng,Urban,51+,Other,20-40k,10/10 Mbps,62
Gauteng,Urban,51+,Other,20-40k,50/50 Mbps,52
Gauteng,Urban,51+,Other,20-40k,100/100 Mbps,58
Gauteng,Urban,51+,Other,20-40k,200/200 Mbps,76
Gauteng,Urban,51+,Other,20-40k,500/500 Mbps,58
Gauteng,Urban,51+,Other,20-40k,1000/1000 Mbps,99
Gauteng,Urban,51+,Other,40k+,10/10 Mbps,87
Gauteng,Urban,51+,Other,40k+,50/50 Mbps,57
Gauteng,Urban,51+,Other,40k+,100/100 Mbps,60
Gauteng,Urban,51+,Other,40k+,200/200 Mbps,32
Gauteng,Urban,51+,Other,40k+,500/500 Mbps,99
Gauteng,Urban,51+,Other,40k+,1000/1000 Mbps,21
Gauteng,Suburban,18-25,Male,<10k,10/10 Mbps,79
Gauteng,Suburban,18-25,Male,<10k,50/50 Mbps,33
Gauteng,Suburban,18-25,Male,<10k,100/100 Mbps,31
Gauteng,Suburban,18-25,Male,<10k,200/200 Mbps,90
Gauteng,Suburban,18-25,Male,<10k,500/500 Mbps,43
Gauteng,Suburban,18-25,Male,<10k,1000/1000 Mbps,64
Gauteng,Suburban,18-25,Male,10-20k,10/10 Mbps,78
Gauteng,Suburban,18-25,Male,10-20k,50/50 Mbps,8
Gauteng,Suburban,18-25,Male,10-20k,100/100 Mbps,74
Gauteng,Suburban,18-25,Male,10-20k,200/200 Mbps,5
Gauteng,Suburban,18-25,Male,10-20k,500/500 Mbps,92
Gauteng,Suburban,18-25,Male,10-20k,1000/1000 Mbps,57
Gauteng,Suburban,18-25,Male,20-40k,10/10 Mbps,55
Gauteng,Suburban,18-25,Male,20-40k,50/50 Mbps,22
Gauteng,Suburban,18-25,Male,20-40k,100/100 Mbps,8
Gauteng,Suburban,18-25,Male,20-40k,200/200 Mbps,57
Gauteng,Suburban,18-25,Male,20-40k,500/500 Mbps,15
Gauteng,Suburban,18-25,Male,20-40k,1000/1000 Mbps,31
Gauteng,Suburban,18-25,Male,40k+,10/10 Mbps,88
Gauteng,Suburban,18-25,Male,40k+,50/50 Mbps,50
Gauteng,Suburban,18-25,Male,40k+,100/100 Mbps,41
Gauteng,Suburban,18-25,Male,40k+,200/200 Mbps,89
Gauteng,Suburban,18-25,Male,40k+,500/500 Mbps,87
Gauteng,Suburban,18-25,Male,40k+,1000/1000 Mbps,54
Gauteng,Suburban,18-25,Female,<10k,10/10 Mbps,17
Gauteng,Suburban,18-25,Female,<10k,50/50 Mbps,34
Gauteng,Suburban,18-25,Female,<10k,100/100 Mbps,32
Gauteng,Suburban,18-25,Female,<10k,200/200 Mbps,17
Gauteng,Suburban,18-25,Female,<10k,500/500 Mbps,79
Gauteng,Suburban,18-25,Female,<10k,1000/1000 Mbps,59
Gauteng,Suburban,18-25,Female,10-20k,10/10 Mbps,87
Gauteng,Suburban,18-25,Female,10-20k,50/50 Mbps,20
Gauteng,Suburban,18-25,Female,10-20k,100/100 Mbps,85
Gauteng,Suburban,18-25,Female,10-20k,200/200 Mbps,28
Gauteng,Suburban,18-25,Female,10-20k,500/500 Mbps,5
Gauteng,Suburban,18-25,Female,10-20k,1000/1000 Mbps,21
Gauteng,Suburban,18-25,Female,20-40k,10/10 Mbps,14
Gauteng,Suburban,18-25,Female,20-40k,50/50 Mbps,45
Gauteng,Suburban,18-25,Female,20-40k,100/100 Mbps,28
Gauteng,Suburban,18-25,Female,20-40k,200/200 Mbps,24
Gauteng,Suburban,18-25,Female,20-40k,500/500 Mbps,76
Gauteng,Suburban,18-25,Female,20-40k,1000/1000 Mbps,20
Gauteng,Suburban,18-25,Female,40k+,10/10 Mbps,55
Gauteng,Suburban,18-25,Female,40k+,50/50 Mbps,79
Gauteng,Suburban,18-25,Female,40k+,100/100 Mbps,91
Gauteng,Suburban,18-25,Female,40k+,200/200 Mbps,92
Gauteng,Suburban,18-25,Female,40k+,500/500 Mbps,95
Gauteng,Suburban,18-25,Female,40k+,1000/1000 Mbps,35
Gauteng,Suburban,18-25,Other,<10k,10/10 Mbps,65
Gauteng,Suburban,18-25,Other,<10k,50/50 Mbps,75
Gauteng,Suburban,18-25,Other,<10k,100/100 Mbps,64
Gauteng,Suburban,18-25,Other,<10k,200/200 Mbps,26
Gauteng,Suburban,18-25,Other,<10k,500/500 Mbps,59
Gauteng,Suburban,18-25,Other,<10k,1000/1000 Mbps,45
Gauteng,Suburban,18-25,Other,10-20k,10/10 Mbps,87
Gauteng,Suburban,18-25,Other,10-20k,50/50 Mbps,41
Gauteng,Suburban,18-25,Other,10-20k,100/100 Mbps,58
Gauteng,Suburban,18-25,Other,10-20k,200/200 Mbps,91
Gauteng,Suburban,18-25,Other,10-20k,500/500 Mbps,39
Gauteng,Suburban,18-25,Other,10-20k,1000/1000 Mbps,18
Gauteng,Suburban,18-25,Other,20-40k,10/10 Mbps,85
Gauteng,Suburban,18-25,Other,20-40k,50/50 Mbps,10
Gauteng,Suburban,18-25,Other,20-40k,100/100 Mbps,96
Gauteng,Suburban,18-25,Other,20-40k,200/200 Mbps,49
Gauteng,Suburban,18-25,Other,20-40k,500/500 Mbps,10
Gauteng,Suburban,18-25,Other,20-40k,1000/1000 Mbps,59
Gauteng,Suburban,18-25,Other,40k+,10/10 Mbps,22
Gauteng,Suburban,18-25,Other,40k+,50/50 Mbps,51
Gauteng,Suburban,18-25,Other,40k+,100/100 Mbps,18
Gauteng,Suburban,18-25,Other,40k+,200/200 Mbps,7
Gauteng,Suburban,18-25,Other,40k+,500/500 Mbps,44
Gauteng,Suburban,18-25,Other,40k+,1000/1000 Mbps,97
Gauteng,Suburban,26-35,Male,<10k,10/10 Mbps,77
Gauteng,Suburban,26-35,Male,<10k,50/50 Mbps,85
Gauteng,Suburban,26-35,Male,<10k,100/100 Mbps,50
Gauteng,Suburban,26-35,Male,<10k,200/200 Mbps,63
Gauteng,Suburban,26-35,Male,<10k,500/500 Mbps,63
Gauteng,Suburban,26-35,Male,<10k,1000/1000 Mbps,53
Gauteng,Suburban,26-35,Male,10-20k,10/10 Mbps,61
Gauteng,Suburban,26-35,Male,10-20k,50/50 Mbps,46
Gauteng,Suburban,26-35,Male,10-20k,100/100 Mbps,71
Gauteng,Suburban,26-35,Male,10-20k,200/200 Mbps,6
Gauteng,Suburban,26-35,Male,10-20k,500/500 Mbps,52
Gauteng,Suburban,26-35,Male,10-20k,1000/1000 Mbps,48
Gauteng,Suburban,26-35,Male,20-40k,10/10 Mbps,71
Gauteng,Suburban,26-35,Male,20-40k,50/50 Mbps,92
Gauteng,Suburban,26-35,Male,20-40k,100/100 Mbps,16
Gauteng,Suburban,26-35,Male,20-40k,200/200 Mbps,29
Gauteng,Suburban,26-35,Male,20-40k,500/500 Mbps,10
Gauteng,Suburban,26-35,Male,20-40k,1000/1000 Mbps,88
Gauteng,Suburban,26-35,Male,40k+,10/10 Mbps,98
Gauteng,Suburban,26-35,Male,40k+,50/50 Mbps,77
Gauteng,Suburban,26-35,Male,40k+,100/100 Mbps,98
Gauteng,Suburban,26-35,Male,40k+,200/200 Mbps,99
Gauteng,Suburban,26-35,Male,40k+,500/500 Mbps,91
Gauteng,Suburban,26-35,Male,40k+,1000/1000 Mbps,95
Gauteng,Suburban,26-35,Female,<10k,10/10 Mbps,85
Gauteng,Suburban,26-35,Female,<10k,50/50 Mbps,21
Gauteng,Suburban,26-35,Female,<10k,100/100 Mbps,14
Gauteng,Suburban,26-35,Female,<10k,200/200 Mbps,11
Gauteng,Suburban,26-35,Female,<10k,500/500 Mbps,88
Gauteng,Suburban,26-35,Female,<10k,1000/1000 Mbps,55
Gauteng,Suburban,26-35,Female,10-20k,10/10 Mbps,76
Gauteng,Suburban,26-35,Female,10-20k,50/50 Mbps,49
Gauteng,Suburban,26-35,Female,10-20k,100/100 Mbps,15
Gauteng,Suburban,26-35,Female,10-20k,200/200 Mbps,40
Gauteng,Suburban,26-35,Female,10-20k,500/500 Mbps,29
Gauteng,Suburban,26-35,Female,10-20k,1000/1000 Mbps,89
Gauteng,Suburban,26-35,Female,20-40k,10/10 Mbps,11
Gauteng,Suburban,26-35,Female,20-40k,50/50 Mbps,27
Gauteng,Suburban,26-35,Female,20-40k,100/100 Mbps,58
Gauteng,Suburban,26-35,Female,20-40k,200/200 Mbps,67
Gauteng,Suburban,26-35,Female,20-40k,500/500 Mbps,81
Gauteng,Suburban,26-35,Female,20-40k,1000/1000 Mbps,72
Gauteng,Suburban,26-35,Female,40k+,10/10 Mbps,23
Gauteng,Suburban,26-35,Female,40k+,50/50 Mbps,20
Gauteng,Suburban,26-35,Female,40k+,100/100 Mbps,41
Gauteng,Suburban,26-35,Female,40k+,200/200 Mbps,19
Gauteng,Suburban,26-35,Female,40k+,500/500 Mbps,26
Gauteng,Suburban,26-35,Female,40k+,1000/1000 Mbps,8
Gauteng,Suburban,26-35,Other,<10k,10/10 Mbps,85
Gauteng,Suburban,26-35,Other,<10k,50/50 Mbps,78
Gauteng,Suburban,26-35,Other,<10k,100/100 Mbps,31
Gauteng,Suburban,26-35,Other,<10k,200/200 Mbps,78
Gauteng,Suburban,26-35,Other,<10k,500/500 Mbps,20
Gauteng,Suburban,26-35,Other,<10k,1000/1000 Mbps,71
Gauteng,Suburban,26-35,Other,10-20k,10/10 Mbps,61
Gauteng,Suburban,26-35,Other,10-20k,50/50 Mbps,31
Gauteng,Suburban,26-35,Other,10-20k,100/100 Mbps,35
Gauteng,Suburban,26-35,Other,10-20k,200/200 Mbps,66
Gauteng,Suburban,26-35,Other,10-20k,500/500 Mbps,52
Gauteng,Suburban,26-35,Other,10-20k,1000/1000 Mbps,23
Gauteng,Suburban,26-35,Other,20-40k,10/10 Mbps,16
Gauteng,Suburban,26-35,Other,20-40k,50/50 Mbps,50
