Month,Province,Campaign,Lead Source,Package,Leads Generated,Conversion Rate,Leads Converted
2025-01-31,Western Cape,Outdoor,Word of Mouth,1000/1000 Mbps,198,0.18,35
2025-01-31,Western Cape,Outdoor,Local Radio,10/10 Mbps,64,0.08,5
2025-01-31,Western Cape,Outdoor,Local Radio,50/50 Mbps,61,0.19,11
2025-01-31,Western Cape,Outdoor,Local Radio,100/100 Mbps,251,0.19,47
2025-01-31,Western Cape,Outdoor,Local Radio,200/200 Mbps,270,0.12,32
2025-01-31,Western Cape,Outdoor,Local Radio,500/500 Mbps,246,0.07,17
2025-01-31,Western Cape,Outdoor,Local Radio,1000/1000 Mbps,112,0.05,5
2025-01-31,Western Cape,Events,Facebook,10/10 Mbps,45,0.07,3
2025-01-31,Western Cape,Events,Facebook,50/50 Mbps,61,0.08,4
2025-01-31,Western Cape,Events,Facebook,100/100 Mbps,109,0.14,15
2025-01-31,Western Cape,Events,Facebook,200/200 Mbps,135,0.17,22
2025-01-31,Western Cape,Events,Facebook,500/500 Mbps,26,0.15,3
2025-01-31,Western Cape,Events,Facebook,1000/1000 Mbps,20,0.07,1
2025-01-31,Western Cape,Events,Google,10/10 Mbps,249,0.1,24
2025-01-31,Western Cape,Events,Google,50/50 Mbps,98,0.15,14
2025-01-31,Western Cape,Events,Google,100/100 Mbps,133,0.1,13
2025-01-31,Western Cape,Events,Google,200/200 Mbps,169,0.15,25
2025-01-31,Western Cape,Events,Google,500/500 Mbps,62,0.06,3
2025-01-31,Western Cape,Events,Google,1000/1000 Mbps,45,0.1,4
2025-01-31,Western Cape,Events,Word of Mouth,10/10 Mbps,26,0.17,4
2025-01-31,Western Cape,Events,Word of Mouth,50/50 Mbps,219,0.18,39
2025-01-31,Western Cape,Events,Word of Mouth,100/100 Mbps,133,0.14,18
2025-01-31,Western Cape,Events,Word of Mouth,200/200 Mbps,119,0.06,7
2025-01-31,Western Cape,Events,Word of Mouth,500/500 Mbps,193,0.11,21
2025-01-31,Western Cape,Events,Word of Mouth,1000/1000 Mbps,203,0.06,12
2025-01-31,Western Cape,Events,Local Radio,10/10 Mbps,39,0.11,4
2025-01-31,Western Cape,Events,Local Radio,50/50 Mbps,238,0.14,33
2025-01-31,Western Cape,Events,Local Radio,100/100 Mbps,266,0.2,53
2025-01-31,Western Cape,Events,Local Radio,200/200 Mbps,142,0.07,9
2025-01-31,Western Cape,Events,Local Radio,500/500 Mbps,121,0.13,15
2025-01-31,Western Cape,Events,Local Radio,1000/1000 Mbps,104,0.05,5
2025-01-31,KwaZulu-Natal,Digital Ads,Facebook,10/10 Mbps,68,0.05,3
2025-01-31,KwaZulu-Natal,Digital Ads,Facebook,50/50 Mbps,250,0.16,40
2025-01-31,KwaZulu-Natal,Digital Ads,Facebook,100/100 Mbps,267,0.1,26
2025-01-31,KwaZulu-Natal,Digital Ads,Facebook,200/200 Mbps,157,0.06,9
2025-01-31,KwaZulu-Natal,Digital Ads,Facebook,500/500 Mbps,248,0.12,29
2025-01-31,KwaZulu-Natal,Digital Ads,Facebook,1000/1000 Mbps,26,0.06,1
2025-01-31,KwaZulu-Natal,Digital Ads,Google,10/10 Mbps,231,0.1,23
2025-01-31,KwaZulu-Natal,Digital Ads,Google,50/50 Mbps,86,0.12,10
2025-01-31,KwaZulu-Natal,Digital Ads,Google,100/100 Mbps,102,0.07,7
2025-01-31,KwaZulu-Natal,Digital Ads,Google,200/200 Mbps,44,0.11,4
2025-01-31,KwaZulu-Natal,Digital Ads,Google,500/500 Mbps,26,0.06,1
2025-01-31,KwaZulu-Natal,Digital Ads,Google,1000/1000 Mbps,204,0.05,10
2025-01-31,KwaZulu-Natal,Digital Ads,Word of Mouth,10/10 Mbps,240,0.08,19
2025-01-31,KwaZulu-Natal,Digital Ads,Word of Mouth,50/50 Mbps,285,0.15,42
2025-01-31,KwaZulu-Natal,Digital Ads,Word of Mouth,100/100 Mbps,111,0.08,8
2025-01-31,KwaZulu-Natal,Digital Ads,Word of Mouth,200/200 Mbps,176,0.08,14
2025-01-31,KwaZulu-Natal,Digital Ads,Word of Mouth,500/500 Mbps,127,0.11,13
2025-01-31,KwaZulu-Natal,Digital Ads,Word of Mouth,1000/1000 Mbps,69,0.14,9
2025-01-31,KwaZulu-Natal,Digital Ads,Local Radio,10/10 Mbps,186,0.1,18
2025-01-31,KwaZulu-Natal,Digital Ads,Local Radio,50/50 Mbps,214,0.2,42
2025-01-31,KwaZulu-Natal,Digital Ads,Local Radio,100/100 Mbps,268,0.19,50
2025-01-31,KwaZulu-Natal,Digital Ads,Local Radio,200/200 Mbps,268,0.06,16
2025-01-31,KwaZulu-Natal,Digital Ads,Local Radio,500/500 Mbps,58,0.15,8
2025-01-31,KwaZulu-Natal,Digital Ads,Local Radio,1000/1000 Mbps,258,0.17,43
2025-01-31,KwaZulu-Natal,Referral,Facebook,10/10 Mbps,53,0.16,8
2025-01-31,KwaZulu-Natal,Referral,Facebook,50/50 Mbps,225,0.12,27
2025-01-31,KwaZulu-Natal,Referral,Facebook,100/100 Mbps,189,0.09,17
2025-01-31,KwaZulu-Natal,Referral,Facebook,200/200 Mbps,39,0.16,6
2025-01-31,KwaZulu-Natal,Referral,Facebook,500/500 Mbps,30,0.12,3
2025-01-31,KwaZulu-Natal,Referral,Facebook,1000/1000 Mbps,267,0.08,21
2025-01-31,KwaZulu-Natal,Referral,Google,10/10 Mbps,68,0.15,10
2025-01-31,KwaZulu-Natal,Referral,Google,50/50 Mbps,162,0.08,12
2025-01-31,KwaZulu-Natal,Referral,Google,100/100 Mbps,42,0.18,7
2025-01-31,KwaZulu-Natal,Referral,Google,200/200 Mbps,123,0.11,13
2025-01-31,KwaZulu-Natal,Referral,Google,500/500 Mbps,99,0.13,12
2025-01-31,KwaZulu-Natal,Referral,Google,1000/1000 Mbps,253,0.15,37
2025-01-31,KwaZulu-Natal,Referral,Word of Mouth,10/10 Mbps,236,0.1,23
2025-01-31,KwaZulu-Natal,Referral,Word of Mouth,50/50 Mbps,125,0.17,21
2025-01-31,KwaZulu-Natal,Referral,Word of Mouth,100/100 Mbps,294,0.07,20
2025-01-31,KwaZulu-Natal,Referral,Word of Mouth,200/200 Mbps,39,0.06,2
2025-01-31,KwaZulu-Natal,Referral,Word of Mouth,500/500 Mbps,188,0.15,28
2025-01-31,KwaZulu-Natal,Referral,Word of Mouth,1000/1000 Mbps,49,0.16,7
2025-01-31,KwaZulu-Natal,Referral,Local Radio,10/10 Mbps,293,0.11,32
2025-01-31,KwaZulu-Natal,Referral,Local Radio,50/50 Mbps,149,0.14,20
2025-01-31,KwaZulu-Natal,Referral,Local Radio,100/100 Mbps,85,0.05,4
2025-01-31,KwaZulu-Natal,Referral,Local Radio,200/200 Mbps,183,0.06,10
2025-01-31,KwaZulu-Natal,Referral,Local Radio,500/500 Mbps,201,0.15,30
2025-01-31,KwaZulu-Natal,Referral,Local Radio,1000/1000 Mbps,295,0.12,35
2025-01-31,KwaZulu-Natal,Outdoor,Facebook,10/10 Mbps,68,0.15,10
2025-01-31,KwaZulu-Natal,Outdoor,Facebook,50/50 Mbps,133,0.1,13
2025-01-31,KwaZulu-Natal,Outdoor,Facebook,100/100 Mbps,246,0.07,17
2025-01-31,KwaZulu-Natal,Outdoor,Facebook,200/200 Mbps,71,0.15,10
2025-01-31,KwaZulu-Natal,Outdoor,Facebook,500/500 Mbps,105,0.17,17
2025-01-31,KwaZulu-Natal,Outdoor,Facebook,1000/1000 Mbps,105,0.15,15
2025-01-31,KwaZulu-Natal,Outdoor,Google,10/10 Mbps,160,0.09,14
2025-01-31,KwaZulu-Natal,Outdoor,Google,50/50 Mbps,232,0.18,41
2025-01-31,KwaZulu-Natal,Outdoor,Google,100/100 Mbps,39,0.16,6
2025-01-31,KwaZulu-Natal,Outdoor,Google,200/200 Mbps,70,0.18,12
2025-01-31,KwaZulu-Natal,Outdoor,Google,500/500 Mbps,81,0.15,12
2025-01-31,KwaZulu-Natal,Outdoor,Google,1000/1000 Mbps,287,0.18,51
2025-01-31,KwaZulu-Natal,Outdoor,Word of Mouth,10/10 Mbps,199,0.07,13
2025-01-31,KwaZulu-Natal,Outdoor,Word of Mouth,50/50 Mbps,148,0.13,19
2025-01-31,KwaZulu-Natal,Outdoor,Word of Mouth,100/100 Mbps,184,0.17,31
2025-01-31,KwaZulu-Natal,Outdoor,Word of Mouth,200/200 Mbps,153,0.16,24
2025-01-31,KwaZulu-Natal,Outdoor,Word of Mouth,500/500 Mbps,190,0.18,34
2025-01-31,KwaZulu-Natal,Outdoor,Word of Mouth,1000/1000 Mbps,103,0.12,12
2025-01-31,KwaZulu-Natal,Outdoor,Local Radio,10/10 Mbps,158,0.17,26
2025-01-31,KwaZulu-Natal,Outdoor,Local Radio,50/50 Mbps,46,0.1,4
2025-01-31,KwaZulu-Natal,Outdoor,Local Radio,100/100 Mbps,234,0.12,28
2025-01-31,KwaZulu-Natal,Outdoor,Local Radio,200/200 Mbps,165,0.09,14
2025-01-31,KwaZulu-Natal,Outdoor,Local Radio,500/500 Mbps,45,0.17,7
2025-01-31,KwaZulu-Natal,Outdoor,Local Radio,1000/1000 Mbps,73,0.08,5
2025-01-31,KwaZulu-Natal,Events,Facebook,10/10 Mbps,189,0.11,20
2025-01-31,KwaZulu-Natal,Events,Facebook,50/50 Mbps,88,0.17,14
2025-01-31,KwaZulu-Natal,Events,Facebook,100/100 Mbps,179,0.13,23
2025-01-31,KwaZulu-Natal,Events,Facebook,200/200 Mbps,55,0.06,3
2025-01-31,KwaZulu-Natal,Events,Facebook,500/500 Mbps,79,0.18,14
2025-01-31,KwaZulu-Natal,Events,Facebook,1000/1000 Mbps,174,0.2,34
2025-01-31,KwaZulu-Natal,Events,Google,10/10 Mbps,149,0.18,26
2025-01-31,KwaZulu-Natal,Events,Google,50/50 Mbps,117,0.19,22
2025-01-31,KwaZulu-Natal,Events,Google,100/100 Mbps,143,0.12,17
2025-01-31,KwaZulu-Natal,Events,Google,200/200 Mbps,140,0.07,9
2025-01-31,KwaZulu-Natal,Events,Google,500/500 Mbps,161,0.13,20
2025-01-31,KwaZulu-Natal,Events,Google,1000/1000 Mbps,112,0.18,20
2025-01-31,KwaZulu-Natal,Events,Word of Mouth,10/10 Mbps,170,0.17,28
2025-01-31,KwaZulu-Natal,Events,Word of Mouth,50/50 Mbps,179,0.15,26
2025-01-31,KwaZulu-Natal,Events,Word of Mouth,100/100 Mbps,121,0.17,20
2025-01-31,KwaZulu-Natal,Events,Word of Mouth,200/200 Mbps,107,0.08,8
2025-01-31,KwaZulu-Natal,Events,Word of Mouth,500/500 Mbps,107,0.05,5
2025-01-31,KwaZulu-Natal,Events,Word of Mouth,1000/1000 Mbps,110,0.15,16
2025-01-31,KwaZulu-Natal,Events,Local Radio,10/10 Mbps,298,0.08,23
2025-01-31,KwaZulu-Natal,Events,Local Radio,50/50 Mbps,98,0.07,6
2025-01-31,KwaZulu-Natal,Events,Local Radio,100/100 Mbps,210,0.13,27
2025-01-31,KwaZulu-Natal,Events,Local Radio,200/200 Mbps,230,0.1,23
2025-01-31,KwaZulu-Natal,Events,Local Radio,500/500 Mbps,138,0.05,6
2025-01-31,KwaZulu-Natal,Events,Local Radio,1000/1000 Mbps,289,0.14,40
2025-01-31,Eastern Cape,Digital Ads,Facebook,10/10 Mbps,255,0.18,45
2025-01-31,Eastern Cape,Digital Ads,Facebook,50/50 Mbps,59,0.15,8
2025-01-31,Eastern Cape,Digital Ads,Facebook,100/100 Mbps,220,0.1,22
2025-01-31,Eastern Cape,Digital Ads,Facebook,200/200 Mbps,75,0.12,9
2025-01-31,Eastern Cape,Digital Ads,Facebook,500/500 Mbps,252,0.17,42
2025-01-31,Eastern Cape,Digital Ads,Facebook,1000/1000 Mbps,270,0.12,32
2025-01-31,Eastern Cape,Digital Ads,Google,10/10 Mbps,226,0.16,36
2025-01-31,Eastern Cape,Digital Ads,Google,50/50 Mbps,132,0.06,7
2025-01-31,Eastern Cape,Digital Ads,Google,100/100 Mbps,104,0.07,7
2025-01-31,Eastern Cape,Digital Ads,Google,200/200 Mbps,118,0.13,15
2025-01-31,Eastern Cape,Digital Ads,Google,500/500 Mbps,191,0.13,24
2025-01-31,Eastern Cape,Digital Ads,Google,1000/1000 Mbps,146,0.1,14
2025-01-31,Eastern Cape,Digital Ads,Word of Mouth,10/10 Mbps,286,0.16,45
2025-01-31,Eastern Cape,Digital Ads,Word of Mouth,50/50 Mbps,200,0.11,22
2025-01-31,Eastern Cape,Digital Ads,Word of Mouth,100/100 Mbps,192,0.18,34
2025-01-31,Eastern Cape,Digital Ads,Word of Mouth,200/200 Mbps,77,0.16,12
2025-01-31,Eastern Cape,Digital Ads,Word of Mouth,500/500 Mbps,51,0.14,7
2025-01-31,Eastern Cape,Digital Ads,Word of Mouth,1000/1000 Mbps,252,0.12,30
2025-01-31,Eastern Cape,Digital Ads,Local Radio,10/10 Mbps,267,0.08,21
2025-01-31,Eastern Cape,Digital Ads,Local Radio,50/50 Mbps,87,0.07,6
2025-01-31,Eastern Cape,Digital Ads,Local Radio,100/100 Mbps,97,0.12,11
2025-01-31,Eastern Cape,Digital Ads,Local Radio,200/200 Mbps,137,0.13,17
2025-01-31,Eastern Cape,Digital Ads,Local Radio,500/500 Mbps,276,0.07,19
2025-01-31,Eastern Cape,Digital Ads,Local Radio,1000/1000 Mbps,255,0.09,22
2025-01-31,Eastern Cape,Referral,Facebook,10/10 Mbps,212,0.13,27
2025-01-31,Eastern Cape,Referral,Facebook,50/50 Mbps,52,0.07,3
2025-01-31,Eastern Cape,Referral,Facebook,100/100 Mbps,189,0.11,20
2025-01-31,Eastern Cape,Referral,Facebook,200/200 Mbps,145,0.18,26
2025-01-31,Eastern Cape,Referral,Facebook,500/500 Mbps,227,0.15,34
2025-01-31,Eastern Cape,Referral,Facebook,1000/1000 Mbps,71,0.17,12
2025-01-31,Eastern Cape,Referral,Google,10/10 Mbps,21,0.12,2
2025-01-31,Eastern Cape,Referral,Google,50/50 Mbps,22,0.1,2
2025-01-31,Eastern Cape,Referral,Google,100/100 Mbps,156,0.1,15
2025-01-31,Eastern Cape,Referral,Google,200/200 Mbps,67,0.09,6
2025-01-31,Eastern Cape,Referral,Google,500/500 Mbps,110,0.11,12
2025-01-31,Eastern Cape,Referral,Google,1000/1000 Mbps,289,0.09,26
2025-01-31,Eastern Cape,Referral,Word of Mouth,10/10 Mbps,24,0.05,1
2025-01-31,Eastern Cape,Referral,Word of Mouth,50/50 Mbps,165,0.17,28
